href,title,from_topicLv2Key,from_topicLv2Label,planned_to_topicLv2Key,planned_to_topicLv2Label,actual_to_topicLv2Key,actual_to_topicLv2Label,status
thu-vien/cach-tra-cuu-ma-so-thue-ca-nhan-cong-ty-qua-mang.html,"Cách tra cứu mã số thuế Cá nhân, Công ty online",khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,ok
thu-vien/cach-tra-cuu-ma-so-thue-ca-nhan.html,"Cách tra cứu mã số thuế cá nhân bằng CCCD, CMND, MST",khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,ok
thu-vien/cau-truc-ma-so-thue.html,"Cấu trúc mã số thuế doanh nghiệp, cá nhân, hộ kinh doanh",khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,mismatch
thu-vien/che-do-ke-toan-cho-ho-kinh-doanh-ca-nhan-kinh-doanh.html,"Thông tư 152/2025/TT-BTC hướng dẫn kế toán cho hộ kinh doanh, cá nhân kinh doanh",khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,ok
thu-vien/dang-ky-thue-lan-dau-cua-ca-nhan-ho-kinh-doanh-2025-theo-tt86.html,"Đăng ký thuế lần đầu của cá nhân, hộ kinh doanh mới nhất năm 2025",khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,le-phi-mon-bai,Lệ phí môn bài,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,mismatch
thu-vien/danh-muc-trang-thai-ma-so-thue.html,Danh mục trạng thái mã số thuế theo Thông tư 86/2024/TT-BTC,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,ok
thu-vien/dia-diem-noi-nop-to-khai-tien-thue-cua-ho-kinh-doanh.html,"Địa điểm, nơi nộp tờ khai, tiền thuế của hộ kinh doanh",khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,ok
thu-vien/doi-tuong-phai-dang-ky-thue-cap-ma-so-thue.html,Đối tượng phải đăng ký thuế theo Thông tư 86/2024/TT-BTC,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,ok
thu-vien/doi-tuong-phai-nop-thue-le-phi-mon-bai.html,Đối tượng phải nộp thuế lệ phí môn bài năm 2025,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,le-phi-mon-bai,Lệ phí môn bài,le-phi-mon-bai,Lệ phí môn bài,ok
thu-vien/ho-so-ke-khai-thue-cua-ho-ca-nhan-kinh-doanh.html,Hồ sơ kê khai thuế của hộ kinh doanh theo Thông tư 18/2026,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,ok
thu-vien/huong-dan-cach-ke-khai-thue-mon-bai-nam-qua-mang.html,Cách kê khai Lệ phí môn bài năm 2026 qua mạng,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,le-phi-mon-bai,Lệ phí môn bài,le-phi-mon-bai,Lệ phí môn bài,ok
thu-vien/huong-dan-ho-kinh-doanh-ke-khai-nop-thue-2026.html,Hướng dẫn hộ kinh doanh kê khai nộp thuế 2026,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,ok
thu-vien/huong-dan-tinh-thue-ho-kinh-doanh-ca-the-ca-nhan-kinh-doanh.html,"Cách tính thuế khoán hộ kinh doanh, cá nhân kinh doanh",khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,ok
thu-vien/muc-le-phi-mon-bai-ap-dung-cho-van-phong-dai-dien.html,Thuế môn bài đối với Văn phòng đại diện năm 2025,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,le-phi-mon-bai,Lệ phí môn bài,le-phi-mon-bai,Lệ phí môn bài,ok
thu-vien/muc-phat-cham-nop-ho-so-dang-ky-thue-moi-nhat.html,"Mức phạt chậm nộp hồ sơ đăng ký thuế, thay đổi thông tin thuế",khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,ok
thu-vien/nhung-truong-hop-duoc-mien-le-phi-mon-bai.html,Những trường hợp được miễn lệ phí môn bài năm 2025,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,le-phi-mon-bai,Lệ phí môn bài,le-phi-mon-bai,Lệ phí môn bài,ok
thu-vien/tam-ngung-kinh-doanh-co-phai-nop-thue-mon-bai-khong.html,Tạm ngừng kinh doanh có phải nộp thuế môn bài không?,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,le-phi-mon-bai,Lệ phí môn bài,le-phi-mon-bai,Lệ phí môn bài,ok
thu-vien/thay-doi-thong-tin-dang-ky-thue-cua-ca-nhan.html,Thay đổi thông tin đăng ký thuế của cá nhân 2026,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,ok
thu-vien/thoi-han-nop-to-khai-bao-cao-thue-cua-ho-kinh-doanh.html,Thời hạn nộp tờ khai báo cáo thuế của hộ kinh doanh 2026,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,ok
thu-vien/thu-tuc-dang-ky-ma-so-thue-ca-nhan-cho-thue-tai-san.html,Thủ tục đăng ký mã số thuế cá nhân cho thuê tài sản 2026,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế,ok
thu-vien/thu-tuc-dang-ky-thue-nha-thau-nha-thau-phu-nuoc-ngoai.html,Thủ tục đăng ký thuế nhà thầu nước ngoài,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,thue-nha-thau,Thuế nhà thầu,thue-nha-thau,Thuế nhà thầu,ok
thu-vien/thue-mon-bai-cua-ho-ca-nhan-kinh-doanh.html,Thuế môn bài của hộ kinh doanh năm 2026,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,ok
