href,title,source_file,to_topicLv2Key,to_topicLv2Label
thu-vien/cach-tinh-thue-nha-thau-nuoc-ngoai-moi-nhat-theo-tt-103.html,Cách tính thuế nhà thầu nước ngoài mới nhất,cach-tinh-thue-nha-thau-nuoc-ngoai-moi-nhat-theo-tt-103.htm,thue-nha-thau,Thuế nhà thầu
thu-vien/cach-tinh-thue-nop-thay-cho-ca-nhan-kinh-doanh.html,Doanh nghiệp nộp thuế thay cho cá nhân kinh doanh,cach-tinh-thue-nop-thay-cho-ca-nhan-kinh-doanh.htm,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh
thu-vien/cach-tra-cuu-ma-so-thue-ca-nhan-cong-ty-qua-mang.html,"Cách tra cứu mã số thuế Cá nhân, Công ty online",cach-tra-cuu-ma-so-thue-ca-nhan-cong-ty-qua-mang.htm,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế
thu-vien/cach-tra-cuu-ma-so-thue-ca-nhan.html,"Cách tra cứu mã số thuế cá nhân bằng CCCD, CMND, MST",cach-tra-cuu-ma-so-thue-ca-nhan.htm,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế
thu-vien/cau-truc-ma-so-thue.html,"Cấu trúc mã số thuế doanh nghiệp, cá nhân, hộ kinh doanh",cau-truc-ma-so-thue.htm,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh
thu-vien/che-do-ke-toan-cho-ho-kinh-doanh-ca-nhan-kinh-doanh.html,"Thông tư 152/2025/TT-BTC hướng dẫn kế toán cho hộ kinh doanh, cá nhân kinh doanh",che-do-ke-toan-cho-ho-kinh-doanh-ca-nhan-kinh-doanh.htm,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh
thu-vien/dang-ky-thue-lan-dau-cua-ca-nhan-ho-kinh-doanh-2025-theo-tt86.html,"Đăng ký thuế lần đầu của cá nhân, hộ kinh doanh mới nhất năm 2025",dang-ky-thue-lan-dau-cua-ca-nhan-ho-kinh-doanh-2025-theo-tt86.htm,le-phi-mon-bai,Lệ phí môn bài
thu-vien/danh-muc-trang-thai-ma-so-thue.html,Danh mục trạng thái mã số thuế theo Thông tư 86/2024/TT-BTC,danh-muc-trang-thai-ma-so-thue.htm,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế
thu-vien/dia-diem-noi-nop-to-khai-tien-thue-cua-ho-kinh-doanh.html,"Địa điểm, nơi nộp tờ khai, tiền thuế của hộ kinh doanh",dia-diem-noi-nop-to-khai-tien-thue-cua-ho-kinh-doanh.htm,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh
thu-vien/doi-tuong-phai-dang-ky-thue-cap-ma-so-thue.html,Đối tượng phải đăng ký thuế theo Thông tư 86/2024/TT-BTC,doi-tuong-phai-dang-ky-thue-cap-ma-so-thue.htm,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế
thu-vien/doi-tuong-phai-nop-thue-le-phi-mon-bai.html,Đối tượng phải nộp thuế lệ phí môn bài năm 2025,doi-tuong-phai-nop-thue-le-phi-mon-bai.htm,le-phi-mon-bai,Lệ phí môn bài
thu-vien/ho-so-ke-khai-thue-cua-ho-ca-nhan-kinh-doanh.html,Hồ sơ kê khai thuế của hộ kinh doanh theo Thông tư 18/2026,ho-so-ke-khai-thue-cua-ho-ca-nhan-kinh-doanh.htm,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh
thu-vien/huong-dan-cach-ke-khai-thue-mon-bai-nam-qua-mang.html,Cách kê khai Lệ phí môn bài năm 2026 qua mạng,huong-dan-cach-ke-khai-thue-mon-bai-nam-qua-mang.htm,le-phi-mon-bai,Lệ phí môn bài
thu-vien/huong-dan-ho-kinh-doanh-ke-khai-nop-thue-2026.html,Hướng dẫn hộ kinh doanh kê khai nộp thuế 2026,huong-dan-ho-kinh-doanh-ke-khai-nop-thue-2026.htm,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh
thu-vien/huong-dan-tinh-thue-ho-kinh-doanh-ca-the-ca-nhan-kinh-doanh.html,"Cách tính thuế khoán hộ kinh doanh, cá nhân kinh doanh",huong-dan-tinh-thue-ho-kinh-doanh-ca-the-ca-nhan-kinh-doanh.htm,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh
thu-vien/muc-le-phi-mon-bai-ap-dung-cho-van-phong-dai-dien.html,Thuế môn bài đối với Văn phòng đại diện năm 2025,muc-le-phi-mon-bai-ap-dung-cho-van-phong-dai-dien.htm,le-phi-mon-bai,Lệ phí môn bài
thu-vien/muc-phat-cham-nop-ho-so-dang-ky-thue-moi-nhat.html,"Mức phạt chậm nộp hồ sơ đăng ký thuế, thay đổi thông tin thuế",muc-phat-cham-nop-ho-so-dang-ky-thue-moi-nhat.htm,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế
thu-vien/nhung-truong-hop-duoc-mien-le-phi-mon-bai.html,Những trường hợp được miễn lệ phí môn bài năm 2025,nhung-truong-hop-duoc-mien-le-phi-mon-bai.htm,le-phi-mon-bai,Lệ phí môn bài
thu-vien/tam-ngung-kinh-doanh-co-phai-nop-thue-mon-bai-khong.html,Tạm ngừng kinh doanh có phải nộp thuế môn bài không?,tam-ngung-kinh-doanh-co-phai-nop-thue-mon-bai-khong.htm,le-phi-mon-bai,Lệ phí môn bài
thu-vien/thay-doi-thong-tin-dang-ky-thue-cua-ca-nhan.html,Thay đổi thông tin đăng ký thuế của cá nhân 2026,thay-doi-thong-tin-dang-ky-thue-cua-ca-nhan.htm,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế
thu-vien/thoi-han-nop-to-khai-bao-cao-thue-cua-ho-kinh-doanh.html,Thời hạn nộp tờ khai báo cáo thuế của hộ kinh doanh 2026,thoi-han-nop-to-khai-bao-cao-thue-cua-ho-kinh-doanh.htm,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh
thu-vien/thu-tuc-dang-ky-ma-so-thue-ca-nhan-cho-thue-tai-san.html,Thủ tục đăng ký mã số thuế cá nhân cho thuê tài sản 2026,thu-tuc-dang-ky-ma-so-thue-ca-nhan-cho-thue-tai-san.htm,ma-so-thue-dang-ky-thue,Mã số thuế - Đăng ký thuế
thu-vien/thu-tuc-dang-ky-thue-nha-thau-nha-thau-phu-nuoc-ngoai.html,Thủ tục đăng ký thuế nhà thầu nước ngoài,thu-tuc-dang-ky-thue-nha-thau-nha-thau-phu-nuoc-ngoai.htm,thue-nha-thau,Thuế nhà thầu
thu-vien/thue-mon-bai-cua-ho-ca-nhan-kinh-doanh.html,Thuế môn bài của hộ kinh doanh năm 2026,thue-mon-bai-cua-ho-ca-nhan-kinh-doanh.htm,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh
